,,Date,Year,Month,Day,Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,"Suppressed 
by","Suppressing 
Agency",Facility Identification,Other Companies,Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Date,Time,Suspected Initiating Event,"Equipment /Facility 
Failure","Contact From 
Object","Facility 
Contacted",Contributing Factor,Notes,EIR Number
1458,PG&E,10/26/2020,2020,10,26,14:33,38.43356358,-122.9082086,Vegetation,Conifer Forest,3 meters - 0.25 Acres,Fire Agency,Graton FD,Pole ID: 102025462,Y,"12,000",Tie Wire,Overhead,Y,10/26/2020,14:29,Equipment - PG&E,Tie wire failure,N.A.,N.A.,N.A.,,
1457,PG&E,10/26/2020,2020,10,26,12:55,40.51851,-124.16308,Vegetation,Herbaceous,3 meters - 0.25 Acres,Cal Fire,N.A.,CGC: 113988543957 ,Y,750,Splice/Clamp/Connector,Overhead,Y,10/26/2020,12:44,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1456,PG&E,10/26/2020,2020,10,26,12:19,38.969134,-121.620574,Vegetation,Urban,0.25 - 10 Acres,Fire Agency,The Oswald Tudor FD,"Circuit ID: 153711101, SAP ID: 101298559, 101298558",Y,"12,000",Conductor - Primary,Overhead,Y,10/26/2020,12:00,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1450,PG&E,10/26/2020,2020,10,26,5:05,37.27256,-121.884359,Building,Urban,1 meter - < 3 meters,Fire Agency,San Jose FD,Circuit ID: 082311102,Y,"12,000",Conductor - Primary,Overhead,Y,10/26/2020,4:55,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1449,PG&E,10/26/2020,2020,10,26,4:04,38.2537283,-122.05515,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Fairfield FD,"Circuit ID: 062131106, SAP ID: 101659158",Y,"12,000",Conductor - Primary,Overhead,Y,10/26/2020,3:40,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1447,PG&E,10/26/2020,2020,10,26,3:16,38.365897,-122.836338,Vegetation,Herbaceous,0.25 - 10 Acres,Fire Agency,Gold Ridge FD,"Circuit ID: 042571104, SAP ID: 101989515",Y,"12,000",Conductor - Primary,Overhead,Y,10/26/2020,3:11,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1446,PG&E,10/26/2020,2020,10,26,3:16,37.404197,-121.837271,Vegetation,Urban,1 meter - < 3 meters,Fire Agency,San Jose FD,Circuit ID: 083531108,Y,"12,000",Conductor - Primary,Overhead,Y,10/26/2020,2:59,Weather,Conductor failure-all,N.A.,N.A.,Weather,High Winds,
1445,PG&E,10/26/2020,2020,10,26,0:08,38.260508,-122.032843,Other,Urban,3 meters - 0.25 Acres,Fire Agency,Fairfield FD,Circuit ID: 062131102 ,Y,"12,000",Conductor - Primary,Overhead,Y,10/25/2020,23:53,Weather,Conductor failure-all,N.A.,N.A.,Weather,High Winds,
1443,PG&E,10/25/2020,2020,10,25,17:31,39.504601,-121.597612,Vegetation,Urban,1 meter - < 3 meters,Cal Fire,N.A.,"Circuit ID: 103251101, SAP ID: 100409439",Y,"12,000",Conductor - Primary,Overhead,N,N.A.,N.A.,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1453,PG&E,10/24/2020,2020,10,24,14:42,38.010305,-121.639517,Other,Herbaceous,3 meters - 0.25 Acres,Fire Agency,Contra Costa FD,Pole ID: 103766880,Y,"21,000",Insulator,Overhead,Y,10/24/2020,11:28,Equipment - PG&E,Insulator,N.A.,N.A.,N.A.,,
1436,PG&E,10/22/2020,2020,10,22,21:43,38.88091156,-123.6622075,Other,Herbaceous,1 meter - < 3 meters,Self Extinguished,N.A.,Pole ID: 102187237,N,"12,000",Fuse,Overhead,N,N.A.,N.A.,Equipment - PG&E,Fuse,N.A.,N.A.,N.A.,,
1435,PG&E,10/22/2020,2020,10,22,15:23,39.28679,-121.05602,Vegetation,Conifer Forest,1 meter - < 3 meters,Cal Fire,N.A.,"Circuit ID: 152481104, SAP Eqp ID: 100077383",Y,"12,000",Conductor - Primary,Overhead,Y,10/22/2020,15:06,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1433,PG&E,10/22/2020,2020,10,22,15:09,34.600174,-120.191998,Vegetation,Herbaceous,1 meter - < 3 meters,Customer,N.A.,Pole ID: 101917628,Y,"12,000",Splice/Clamp/Connector,Overhead,Y,10/22/2020,15:02,Equipment - PG&E,#N/A,N.A.,N.A.,N.A.,,
1432,PG&E,10/22/2020,2020,10,22,9:02,39.56865267,-120.6277376,Vegetation,Conifer Forest,3 meters - 0.25 Acres,Fire Agency,Sierra City FD,Pole ID: 103310621,N,"12,000",Fuse,Overhead,Y,10/22/2020,8:54,Equipment - PG&E,Fuse failure - all,N.A.,N.A.,N.A.,,
1430,PG&E,10/22/2020,2020,10,22,9:20,40.14979,-122.21667,Vegetation,Herbaceous,3 meters - 0.25 Acres,Fire Agency,Red Bluff FD,Pole ID: 101537375,Y,750,Grounding Wire,Overhead,N,N.A.,N.A.,Weather,Grounding Wire,N.A.,N.A.,Weather,High Winds,
1428,PG&E,10/22/2020,2020,10,22,7:19,38.878936,-121.117753,Vegetation,Urban,0.25 - 10 Acres,Cal Fire,N.A.,Pole ID: 100045063/ 002/051,Y,"12,000",Pole,Overhead,Y,10/22/2020,7:06,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1427,PG&E,10/21/2020,2020,10,21,15:52,38.206715,-121.7120917,Other,Urban,1 meter - < 3 meters,Fire Agency,Rio Vista FD,Circuit ID: 063642107,Y,"12,000",Splice/Clamp/Connector,Overhead,Y,10/21/2020,15:43,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1426,PG&E,10/21/2020,2020,10,21,14:50,38.15853,-121.6917867,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Rio Vista FD,Circuit ID: 062462225,Y,"12,000",Service Drop,Overhead,Y,10/21/2020,14:32,Contact from object,N.A.,Vegetation,Service Drop,N.A.,,
1422,PG&E,10/20/2020,2020,10,20,0:02,39.101348,-121.580358,Vegetation,Urban,1 meter - < 3 meters,Fire Agency,Olivehurst FD,Circuit ID: 152901101,Y,"12,000",Conductor - Primary,Overhead,Y,10/20/2020,23:53,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1421,PG&E,10/19/2020,2020,10,19,15:23,35.5971683,-120.65786,Other,Barren/Other,3 meters - 0.25 Acres,Fire Agency,Paso Robles FD,"Circuit ID: 182611106, SAP: 41121346",Y,"21,000",Jumper,Overhead,Y,10/19/2020,15:21,Equipment - PG&E,#N/A,N.A.,N.A.,N.A.,,
1412,PG&E,10/18/2020,2020,10,18,19:39,37.84616641,-120.8969629,Other,Herbaceous,3 meters - 0.25 Acres,Customer,N.A.,Pole ID: 103151988,N,750,Riser,Overhead,Y,10/18/2020,19:21,Equipment - PG&E,Riser Failure,N.A.,N.A.,N.A.,,
1407,PG&E,10/18/2020,2020,10,18,13:10,38.915505,-121.3465217,Other,Herbaceous,0.25 - 10 Acres,Fire Agency,Lincoln FD,Pole ID: 100089743,N,"12,000",Lightning Arrestor,Overhead,Y,10/18/2020,12:20,Contact from object,N.A.,Animal,Lightning Arrestor,N.A.,,
1398,PG&E,10/17/2020,2020,10,17,13:27,38.420363,-122.954797,Building,Hardwood Forest,1 meter - < 3 meters,Cal Fire,N.A.,N.A.,N.A.,"12,000",N.A.,Overhead,N,N.A.,N.A.,Under Investigation,N.A.,N.A.,N.A.,N.A.,"PG&E has included the following ignition that meets Electric Incident Report criteria, defined by Appendix B to CPUC D.06-04-055. PG&E has not formed a conclusion about the origin or cause of this particular ignition.",EI201017A
1401,PG&E,10/17/2020,2020,10,17,15:10,36.726413,-119.767777,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Fresno FD,Meter: 1010546607,Y,750,Service Drop,Overhead,Y,10/17/2020,15:10,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1391,PG&E,10/16/2020,2020,10,16,11:01,36.956586,-121.727017,Other,Urban,3 meters - 0.25 Acres,Customer,N.A.,LR: 135762,Y,"21,000",Recloser,Overhead,Y,10/16/2020,11:01,Contact from object,N.A.,Animal,Recloser,N.A.,,
1389,PG&E,10/16/2020,2020,10,16,4:23,38.41125,-122.9801,Vegetation,Conifer Forest,3 meters - 0.25 Acres,Cal Fire,N.A.,"Circuit ID: 042571102, SAP: 101974096",Y,"12,000",Conductor - Primary,Overhead,Y,10/16/2020,4:13,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
