,date,year,month,day,time,hour,minute,latitude,longitude,Wind Speed
287,2015-04-14,2015,4,14,12:11:09 AM,0,11,38.02150999,-121.609989,no data
288,2015-04-14,2015,4,14,12:12:35 AM,0,12,38.17891,-121.6938433,38.9
289,2015-04-15,2015,4,15,12:12:35 AM,0,12,39.1152267,-121.5710967,20.5
290,2015-04-16,2015,4,16,12:17:35 AM,0,17,38.20541,-122.147549,16.6
291,2015-04-17,2015,4,17,12:14:34 AM,0,14,37.004131,-119.729265,9.4
292,2015-04-18,2015,4,18,12:03:07 AM,0,3,38.68575999,-121.00839,5.4
293,2015-04-19,2015,4,19,12:09:18 AM,0,9,36.57637,-119.66898,9.4
294,2015-04-19,2015,4,19,12:13:01 AM,0,13,37.1571,-120.4145,11.2
295,2015-04-20,2015,4,20,12:18:18 AM,0,18,36.9743083,-120.0175783,13.0
296,2015-04-21,2015,4,21,12:17:01 AM,0,17,34.931259,-120.440481,22.3
297,2015-04-24,2015,4,24,12:06:06 AM,0,6,38.0500667,-121.4966433,20.5
298,2015-04-24,2015,4,24,12:17:47 AM,0,17,37.55863999,-121.919619,14.8
299,2015-04-26,2015,4,26,12:16:50 AM,0,16,34.8546667,-120.5239933,31.7
300,2015-04-27,2015,4,27,12:12:54 AM,0,12,35.487094,-120.67561,18.4
301,2015-04-28,2015,4,28,12:13:57 AM,0,13,36.7504334,-119.7483094,11.2
302,2015-04-28,2015,4,28,12:14:20 AM,0,14,39.79716,-121.89074,no data
303,2015-04-30,2015,4,30,12:00:26 AM,0,0,37.24014,-122.2472,22.3
304,2015-05-02,2015,5,2,12:16:51 AM,0,16,37.32843,-119.64296,no data
305,2015-05-02,2015,5,2,12:17:30 AM,0,17,38.20382,-121.26438,22.3
306,2015-05-06,2015,5,6,12:17:17 AM,0,17,37.42727,-119.8802767,no data
307,2015-05-06,2015,5,6,12:23:10 AM,0,23,39.810395,-122.329176,no data
308,2015-05-07,2015,5,7,12:08:06 AM,0,8,39.237985,-121.58751,13.0
309,2015-05-08,2015,5,8,12:05:55 AM,0,5,38.77552999,-121.50642,9.4
310,2015-05-09,2015,5,9,12:13:10 AM,0,13,39.23429,-121.246825,20.5
311,2015-05-09,2015,5,9,12:21:37 AM,0,21,39.28477,-121.021919,0.0
312,2015-05-10,2015,5,10,12:15:03 AM,0,15,37.664943,-122.432181,33.5
313,2015-05-10,2015,5,10,12:16:07 AM,0,16,37.783158,-120.793321,16.6
