,date,time,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_ignition_cause,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,facility_identification_circuit,suspected_initiating_event,unnamed_23
20,2018-09-14,15:02.00,32.789679,-117.080882,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,P279980J Cir 702,,12kV,Other,Overhead,Yes,2018-09-14,15:48:00,Equipment/Facility Failure,,,,None,,,
21,2018-10-12,12:30.00,32.801907,-117.149376,Vegetation,Urban,Less Than .25 Acres,Utility,,Z96245,,69kV,Other,Overhead,No,,,Contact From Object,,Vehicle,,Human Error,,,
22,2018-10-12,10:00.00,33.301327,-116.912945,Vegetation,Rural,Less Than .25 Acres,Utility,,Z118027,,69kV,Conductor,Overhead,No,,,Contact from Object,,Vehicle,,Human Error,,,
23,2018-10-15,10:21.00,33.319099,-117.259671,Vegetation,Rural,Less Than .25 Acres,Customer,,P112366,,12kV,Conductor,Overhead,Yes,2018-10-15,12:02:00,Equipment/Facility Failure,,,,None,,,
24,2018-11-26,01:51.00,33.431391999999995,-117.59519499999999,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,OCFA,P25325,,12kV,Conductor,Overhead,Yes,2018-11-26,01:45:00,Contact From Object,,Balloons,Electric Facility,,,,
25,2018-12-02,11:25.00,33.28,-117.404,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,Z223659,,230kV,Conductor,Overhead,Yes,2018-12-02,11:25:00,Contact From Object,,Other,Electric Facility,None,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,Other,,,,,
32,,,,,,,,,,,,,,,,,,,,Other,,,,,
33,,,,,,,,,,,,,,,,,,,,Other,,,,,
34,,,,,,,,,,,,,,,,,,,,Other,,,,,
35,,,,,,,,,,,,,,,,,,,,Other,,,,,
36,,,,,,,,,,,,,,,,,,,,Other,,,,,
37,,,,,,,,,,,,,,,,,,,,Other,,,,,
0,2019-01-16,16:55.00,33.421,-117.61,Vegetation,Urban,Less Than .25 Acres,Fire Agency,OCFA,P29955,,12 kV,Other,Overhead,No,,,Equipment/Facility Failure,Crossarm,,,Weather,,,
1,2019-04-15,14:05.00,32.7883007,-116.8896419,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CalFire,P74970 and P74971,Telco,12 kV,Conductor,Overhead,Yes,2019-04-15,12:51:00,Wire-Wire Contact,,,,Outside Force,,,
2,2019-06-12,22:05.00,33.048427000000004,-116.85781499999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CalFire,W100304,,12 kV,Switch,Padmounted,Yes,2019-06-12,22:17:00,Contact From Object,,Vehicle,Electric Facility,None,,,
3,2019-07-03,15:15.00,33.011264000000004,-116.84921999999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Ramona ,P815903,Telco,120/208,Conductor,Overhead,No,,,Equipment/Facility Failure,Conductor,,,Unknown,,,
4,2019-07-05,12:32.00,33.1584479,-117.2220482,Vegetation,Urban,Less Than .25 Acres,Fire Agency,San Marcos,P415472,,12kV,Conductor,Overhead,Yes,2019-07-05,12:19:00,Contact From Object,,Vehicle,Pole,Human Error,,,
5,2019-07-12,13:52.00,33.126802000000005,-117.303471,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Carlsbad,Z710094,,230 kV,Conductor,Overhead,Yes,2019-07-12,13:51:00,Contact From Object,,Balloons,Electric Facility,None,,,
6,2019-07-16,07:36.00,33.169659,-117.146073,Vegetation,Rural,Less Than .25 Acres,Fire Agency,San Marcos,P114649,,12kV,Conductor,Overhead,Yes,2019-07-16,07:53:00,Wire-Wire Contact,,,,Other,,,
